,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
3066,Missouri,2014,Alcohol-induced causes,All other alcohol-induced causes,423,7.0
3068,Missouri,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),888,14.6
3069,Missouri,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),121,2.0
3071,Missouri,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),46,0.8
3072,Missouri,2015,Drug-induced causes,All other drug-induced causes,32,0.5
3073,Missouri,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,0.5
3074,Missouri,2015,Alcohol-induced causes,All other alcohol-induced causes,481,7.9
3076,Missouri,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1175,19.3
3077,Missouri,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),127,2.1
3078,Missouri,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),60,1.0
3079,Missouri,2016,Drug-induced causes,All other drug-induced causes,47,0.8
3080,Missouri,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",33,0.5
3081,Missouri,2016,Alcohol-induced causes,All other alcohol-induced causes,503,8.3
3083,Missouri,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1219,19.9
3084,Missouri,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),102,1.7
3085,Missouri,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),40,0.7
3086,Missouri,2017,Drug-induced causes,All other drug-induced causes,59,1.0
3087,Missouri,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,0.5
3088,Missouri,2017,Alcohol-induced causes,All other alcohol-induced causes,525,8.6
3092,Montana,1999,Alcohol-induced causes,All other alcohol-induced causes,73,8.1
3097,Montana,2000,Alcohol-induced causes,All other alcohol-induced causes,78,8.6
3099,Montana,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),30,3.3
3102,Montana,2001,Alcohol-induced causes,All other alcohol-induced causes,105,11.6
3104,Montana,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),36,3.9
3105,Montana,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),26,2.9
3107,Montana,2002,Alcohol-induced causes,All other alcohol-induced causes,111,12.2
3109,Montana,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),45,4.9
3111,Montana,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,3.2
3112,Montana,2003,Drug-induced causes,All other drug-induced causes,23,2.5
3113,Montana,2003,Alcohol-induced causes,All other alcohol-induced causes,105,11.4
3115,Montana,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),54,5.8
3116,Montana,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),24,2.6
3117,Montana,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,2.2
3118,Montana,2004,Drug-induced causes,All other drug-induced causes,21,2.3
3119,Montana,2004,Alcohol-induced causes,All other alcohol-induced causes,95,10.2
3121,Montana,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),54,5.7
3122,Montana,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,2.7
3124,Montana,2005,Drug-induced causes,All other drug-induced causes,23,2.4
3125,Montana,2005,Alcohol-induced causes,All other alcohol-induced causes,123,13.1
3127,Montana,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),55,5.8
3128,Montana,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),24,2.5
3130,Montana,2006,Drug-induced causes,All other drug-induced causes,24,2.5
3131,Montana,2006,Alcohol-induced causes,All other alcohol-induced causes,144,15.1
3133,Montana,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),73,7.6
3134,Montana,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,3.1
3135,Montana,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,2.3
3136,Montana,2007,Alcohol-induced causes,All other alcohol-induced causes,135,14.0
3138,Montana,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),95,9.7
3139,Montana,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),27,2.8
3142,Montana,2008,Alcohol-induced causes,All other alcohol-induced causes,147,15.1
3144,Montana,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),94,9.6
3145,Montana,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,3.0
3148,Montana,2009,Alcohol-induced causes,All other alcohol-induced causes,133,13.5
3150,Montana,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),63,6.4
3151,Montana,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),32,3.2
3152,Montana,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,2.3
3153,Montana,2010,Alcohol-induced causes,All other alcohol-induced causes,141,14.3
3155,Montana,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),90,9.0
3156,Montana,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,2.2
3157,Montana,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,2.9
3158,Montana,2011,Alcohol-induced causes,All other alcohol-induced causes,133,13.3
3160,Montana,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),78,7.8
3161,Montana,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),24,2.4
3164,Montana,2012,Alcohol-induced causes,All other alcohol-induced causes,157,15.6
3166,Montana,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),79,7.8
3167,Montana,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,3.0
3168,Montana,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,2.8
3170,Montana,2013,Alcohol-induced causes,All other alcohol-induced causes,187,18.4
3172,Montana,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),71,6.9
3173,Montana,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),32,3.1
3174,Montana,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,2.1
3175,Montana,2014,Drug-induced causes,All other drug-induced causes,20,2.0
3177,Montana,2014,Alcohol-induced causes,All other alcohol-induced causes,150,14.7
3179,Montana,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),83,8.0
3180,Montana,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,2.1
3181,Montana,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),32,3.1
3184,Montana,2015,Alcohol-induced causes,All other alcohol-induced causes,184,17.8
3186,Montana,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),83,8.0
3190,Montana,2016,Alcohol-induced causes,All other alcohol-induced causes,177,17.0
3192,Montana,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),92,8.8
3193,Montana,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,2.0
3195,Montana,2017,Alcohol-induced causes,All other alcohol-induced causes,240,22.8
3197,Nebraska,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),24,1.4
3199,Nebraska,1999,Alcohol-induced causes,All other alcohol-induced causes,89,5.2
3201,Nebraska,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),22,1.3
3204,Nebraska,2000,Alcohol-induced causes,All other alcohol-induced causes,67,3.9
3206,Nebraska,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),33,1.9
3208,Nebraska,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),21,1.2
3209,Nebraska,2001,Alcohol-induced causes,All other alcohol-induced causes,86,5.0
3211,Nebraska,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),29,1.7
3214,Nebraska,2002,Alcohol-induced causes,All other alcohol-induced causes,105,6.1
3216,Nebraska,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),30,1.7
3219,Nebraska,2003,Drug-induced causes,All other drug-induced causes,33,1.9
3220,Nebraska,2003,Alcohol-induced causes,All other alcohol-induced causes,92,5.3
3222,Nebraska,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),34,1.9
3223,Nebraska,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),20,1.1
3224,Nebraska,2004,Drug-induced causes,All other drug-induced causes,32,1.8
3225,Nebraska,2004,Alcohol-induced causes,All other alcohol-induced causes,102,5.8
3227,Nebraska,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),43,2.4
3228,Nebraska,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),23,1.3
3229,Nebraska,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,1.1
3230,Nebraska,2005,Drug-induced causes,All other drug-induced causes,43,2.4
3231,Nebraska,2005,Alcohol-induced causes,All other alcohol-induced causes,109,6.2
3233,Nebraska,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),56,3.2
3234,Nebraska,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,1.2
3236,Nebraska,2006,Drug-induced causes,All other drug-induced causes,40,2.3
3237,Nebraska,2006,Alcohol-induced causes,All other alcohol-induced causes,103,5.8
3239,Nebraska,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),50,2.8
3244,Nebraska,2007,Alcohol-induced causes,All other alcohol-induced causes,92,5.2
3246,Nebraska,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),73,4.1
3250,Nebraska,2008,Alcohol-induced causes,All other alcohol-induced causes,121,6.7
3252,Nebraska,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),81,4.5
3257,Nebraska,2009,Alcohol-induced causes,All other alcohol-induced causes,119,6.6
3259,Nebraska,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),81,4.4
3260,Nebraska,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),20,1.1
3263,Nebraska,2010,Alcohol-induced causes,All other alcohol-induced causes,136,7.4
3265,Nebraska,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),96,5.2
3270,Nebraska,2011,Alcohol-induced causes,All other alcohol-induced causes,116,6.3
3272,Nebraska,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),117,6.3
3273,Nebraska,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,1.3
3275,Nebraska,2012,Alcohol-induced causes,All other alcohol-induced causes,163,8.8
3277,Nebraska,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),92,4.9
3278,Nebraska,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),21,1.1
3279,Nebraska,2013,Drug-induced causes,All other drug-induced causes,20,1.1
3281,Nebraska,2013,Alcohol-induced causes,All other alcohol-induced causes,170,9.1
3283,Nebraska,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),93,4.9
3284,Nebraska,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,1.3
3287,Nebraska,2014,Alcohol-induced causes,All other alcohol-induced causes,171,9.1
3289,Nebraska,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),104,5.5
3293,Nebraska,2015,Alcohol-induced causes,All other alcohol-induced causes,181,9.5
3295,Nebraska,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),94,4.9
3296,Nebraska,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),20,1.0
3297,Nebraska,2016,Drug-induced causes,All other drug-induced causes,26,1.4
3299,Nebraska,2016,Alcohol-induced causes,All other alcohol-induced causes,207,10.9
3301,Nebraska,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),125,6.5
3302,Nebraska,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),22,1.1
3305,Nebraska,2017,Alcohol-induced causes,All other alcohol-induced causes,227,11.8
3307,Nevada,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),138,7.1
3308,Nevada,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),52,2.7
3309,Nevada,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),37,1.9
3310,Nevada,1999,Alcohol-induced causes,All other alcohol-induced causes,252,13.0
3312,Nevada,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),176,8.8
3313,Nevada,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),62,3.1
3314,Nevada,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),35,1.8
3315,Nevada,2000,Alcohol-induced causes,All other alcohol-induced causes,215,10.8
3317,Nevada,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),161,7.7
3318,Nevada,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),63,3.0
3319,Nevada,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),35,1.7
3320,Nevada,2001,Alcohol-induced causes,All other alcohol-induced causes,250,11.9
3322,Nevada,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),206,9.5
3323,Nevada,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),81,3.7
3324,Nevada,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),35,1.6
3325,Nevada,2002,Alcohol-induced causes,All other alcohol-induced causes,211,9.7
3327,Nevada,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),262,11.7
3328,Nevada,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),63,2.8
3330,Nevada,2003,Alcohol-induced causes,All other alcohol-induced causes,244,10.8
3332,Nevada,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),302,12.9
3333,Nevada,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),62,2.6
3336,Nevada,2004,Alcohol-induced causes,All other alcohol-induced causes,230,9.8
3338,Nevada,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),344,14.1
3339,Nevada,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),93,3.8
3341,Nevada,2005,Alcohol-induced causes,All other alcohol-induced causes,224,9.2
3343,Nevada,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),353,14.0
3344,Nevada,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),84,3.3
3345,Nevada,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.8
3347,Nevada,2006,Alcohol-induced causes,All other alcohol-induced causes,217,8.6
3349,Nevada,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),399,15.3
3350,Nevada,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),85,3.3
3353,Nevada,2007,Alcohol-induced causes,All other alcohol-induced causes,244,9.4
3355,Nevada,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),411,15.5
3356,Nevada,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),89,3.4
3360,Nevada,2008,Alcohol-induced causes,All other alcohol-induced causes,268,10.1
3362,Nevada,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),449,16.7
3363,Nevada,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),83,3.1
3366,Nevada,2009,Alcohol-induced causes,All other alcohol-induced causes,302,11.2
3368,Nevada,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),472,17.5
3369,Nevada,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),90,3.3
3371,Nevada,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",20,0.7
3372,Nevada,2010,Alcohol-induced causes,All other alcohol-induced causes,316,11.7
3374,Nevada,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),522,19.2
3375,Nevada,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),98,3.6
3378,Nevada,2011,Alcohol-induced causes,All other alcohol-induced causes,328,12.0
3380,Nevada,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),480,17.4
3381,Nevada,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),103,3.7
3383,Nevada,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",30,1.1
3384,Nevada,2012,Alcohol-induced causes,All other alcohol-induced causes,339,12.3
3386,Nevada,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),490,17.6
3387,Nevada,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),105,3.8
3390,Nevada,2013,Alcohol-induced causes,All other alcohol-induced causes,355,12.7
3392,Nevada,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),447,15.7
3393,Nevada,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),87,3.1
3396,Nevada,2014,Alcohol-induced causes,All other alcohol-induced causes,361,12.7
3398,Nevada,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),517,17.9
3399,Nevada,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),87,3.0
3403,Nevada,2015,Alcohol-induced causes,All other alcohol-induced causes,420,14.5
3405,Nevada,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),535,18.2
3406,Nevada,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),113,3.8
3409,Nevada,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",21,0.7
3410,Nevada,2016,Alcohol-induced causes,All other alcohol-induced causes,450,15.3
3412,Nevada,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),550,18.3
3413,Nevada,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),105,3.5
3414,Nevada,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.7
3415,Nevada,2017,Drug-induced causes,All other drug-induced causes,22,0.7
